Code,Year,Quarter,Roe,YOYNi,LiabilityTo,YOYEquity,YOYLiability
SZ.000009,2025,2,0.02443,0.434151,0.006006,0.006445,0.109301
SZ.000010,2025,2,-0.160118,0.5515,0.008782,0.706084,-0.172428
SZ.000011,2025,2,0.004283,6.623609,0.008053,-0.247333,0.103745
SZ.000012,2025,2,0.005572,-0.910583,0.005684,-0.057349,0.012936
SZ.000014,2025,2,-0.011747,-1.353233,0.00288,-0.034085,0.172992
SZ.000016,2025,2,-0.181175,0.611789,0.00946,-0.591087,-0.045746
SZ.000017,2025,2,0.052634,2.43593,0.002511,0.150784,1.987437
SZ.000019,2025,2,0.035767,0.350212,0.003024,0.042204,-0.188899
SZ.000020,2025,2,0.034905,0.426213,0.004395,0.108823,0.293256
SZ.000021,2025,2,0.037335,0.281311,0.004673,0.11641,-0.111682
SZ.001872,2025,2,0.042348,0.008013,0.003572,0.043977,-0.01647
SZ.000025,2025,2,0.048081,0.026675,0.002896,0.060333,0.133881
SZ.000026,2025,2,0.024517,-0.439674,0.001405,0.005514,-0.345382
SZ.000027,2025,2,0.034659,0.066149,0.006186,0.055926,-0.003618
SZ.000028,2025,2,0.037196,-0.074619,0.005786,0.020042,-0.029298
SZ.000029,2025,2,0.028885,19.994794,0.003522,-0.019809,-0.282878
SZ.000030,2025,2,0.038118,-0.006814,0.004703,0.058305,0.07836
SZ.000031,2025,2,0.010161,18.698333,0.007519,-0.191608,-0.13834
SZ.000032,2025,2,-0.015294,-0.842261,0.00823,-0.011578,0.098558
SZ.000034,2025,2,0.042491,-0.141201,0.00761,0.19227,-0.009046
SZ.000035,2025,2,0.019583,-0.424507,0.006544,0.002961,0.194716
SZ.000036,2025,2,0.000402,-0.752982,0.002188,-0.005168,-0.071408
SZ.000037,2025,2,-0.014723,0.384278,0.0025,0.031445,-0.381105
SZ.000039,2025,2,0.024623,0.264535,0.006101,0.04659,-0.052072
SZ.000042,2025,2,0.056553,1.429892,0.009026,-0.356348,0.10371
SZ.001914,2025,2,0.045036,0.081254,0.004401,0.061686,0.008023
SZ.000045,2025,2,0.011938,-0.288528,0.001996,0.020095,-0.295438
SZ.000048,2025,2,0.052356,-0.046281,0.005833,0.072725,-0.157931
SZ.000049,2025,2,0.014872,-0.34985,0.006065,0.041402,0.101057
SZ.000050,2025,2,0.00752,1.353912,0.006163,0.003308,-0.086044
SZ.000055,2025,2,0.00283,-0.853169,0.00532,0.011912,-0.090109
SZ.000056,2025,2,-0.699788,-0.332692,0.00985,-0.796299,-0.017619
SZ.000058,2025,2,0.023421,-0.162955,0.005138,0.008881,-0.024831
SZ.000059,2025,2,-0.090102,-0.311212,0.005936,-0.226854,0.162788
SZ.000060,2025,2,0.03821,-0.110954,0.006447,0.101864,0.103462
SZ.000061,2025,2,0.030019,-0.116936,0.005918,0.039242,0.051355
SZ.000062,2025,2,0.033845,0.299396,0.005186,-0.02478,0.015318
SZ.000063,2025,2,0.068509,-0.114494,0.006528,0.063113,0.047893
SZ.000065,2025,2,0.031681,-0.478443,0.005624,0.129456,-0.039075
SZ.000066,2025,2,0.012315,1.348604,0.006174,-0.083792,-0.036646
SZ.000068,2025,2,-0.133298,-0.501687,0.007588,-0.037837,0.148243
SZ.000069,2025,2,-0.055351,-1.538441,0.00771,-0.170676,-0.102758
SZ.000070,2025,2,0.003723,2.439627,0.006995,-0.20734,-0.160808
SZ.000078,2025,2,0.017479,-0.437699,0.00897,-0.399581,-0.097831
SZ.000088,2025,2,0.036721,0.03407,0.001878,0.350574,-0.399244
SZ.000089,2025,2,0.027426,0.792203,0.005267,0.03008,-0.051765
SZ.000090,2025,2,0.002862,-0.965348,0.007552,0.003148,-0.150397
SZ.000096,2025,2,0.003344,-0.56404,0.000882,0.022578,0.284449
SZ.000099,2025,2,0.028675,0.138851,0.00257,0.040056,0.668225
SZ.000100,2025,2,0.035284,1.067677,0.00677,0.023402,0.110734
SZ.000151,2025,2,-0.164618,0.566694,0.009127,-0.45493,-0.090564
SZ.000153,2025,2,0.037084,-0.240697,0.005621,0.074667,-0.007219
SZ.000155,2025,2,0.029333,-0.544472,0.005347,0.009907,0.191121
SZ.000156,2025,2,0.016859,0.052962,0.004755,0.009149,0.091711
SZ.000157,2025,2,0.048386,0.14063,0.005406,0.023287,-0.027957
SZ.000158,2025,2,-0.01746,0.651144,0.006962,-0.059202,0.239965
SZ.000159,2025,2,0.012182,0.17188,0.004181,-0.172294,-0.050782
SZ.000301,2025,2,0.011264,0.276518,0.00822,-0.014771,0.048806
SZ.000400,2025,2,0.054867,-0.018454,0.005048,0.068092,0.263971
