ts_code,symbol,name,area,industry,market,cnspell,list_date,act_name,act_ent_type,list_status
000001.SZ,000001,平安银行,深圳,银行,主板,PAYH,19910403,无实际控制人,其他,L
000002.SZ,000002,万科Ａ,深圳,全国地产,主板,WKA,19910129,无实际控制人,其他,L
000004.SZ,000004,*ST国华,深圳,软件服务,主板,*STGH,19901201,李映彤,民营企业,L
000006.SZ,000006,深振业Ａ,深圳,区域地产,主板,SZYA,19920427,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000007.SZ,000007,全新好,深圳,其他商业,主板,QXH,19920413,无实际控制人,其他,L
000008.SZ,000008,神州高铁,北京,运输设备,主板,SZGT,19920507,国家开发投资集团有限公司,中央企业,L
000009.SZ,000009,中国宝安,深圳,电气设备,主板,ZGBA,19910625,无实际控制人,其他,L
000010.SZ,000010,美丽生态,深圳,建筑工程,主板,MLST,19951027,无实际控制人,其他,L
000011.SZ,000011,深物业A,深圳,房产服务,主板,SWYA,19920330,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000012.SZ,000012,南玻Ａ,深圳,玻璃,主板,NBA,19920228,无实际控制人,其他,L
000014.SZ,000014,沙河股份,深圳,全国地产,主板,SHGF,19920602,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000016.SZ,000016,深康佳Ａ,深圳,家用电器,主板,SKJA,19920327,国务院国有资产监督管理委员会,中央企业,L
000017.SZ,000017,深中华A,深圳,服饰,主板,SZHA,19920331,王胜洪,民营企业,L
000019.SZ,000019,深粮控股,深圳,农业综合,主板,SLKG,19921012,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000020.SZ,000020,深华发Ａ,深圳,元器件,主板,SHFA,19920428,李中秋,外资,L
000021.SZ,000021,深科技,深圳,元器件,主板,SKJ,19940202,国务院国有资产监督管理委员会,中央企业,L
001872.SZ,001872,招商港口,深圳,港口,主板,ZSGK,19930505,国务院国有资产监督管理委员会,中央企业,L
000025.SZ,000025,特力Ａ,深圳,综合类,主板,TLA,19930621,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000026.SZ,000026,飞亚达,深圳,服饰,主板,FYD,19930603,国务院国有资产监督管理委员会,中央企业,L
000027.SZ,000027,深圳能源,深圳,火力发电,主板,SZNY,19930903,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000028.SZ,000028,国药一致,深圳,医药商业,主板,GYYZ,19930809,国务院国有资产监督管理委员会,中央企业,L
000029.SZ,000029,深深房Ａ,深圳,区域地产,主板,SSFA,19930915,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000030.SZ,000030,富奥股份,吉林,汽车配件,主板,FAGF,19930929,吉林省人民政府国有资产监督管理委员会,地方国有企业,L
000031.SZ,000031,大悦城,深圳,全国地产,主板,DYC,19931008,国务院国有资产监督管理委员会,中央企业,L
000032.SZ,000032,深桑达Ａ,深圳,建筑工程,主板,SSDA,19931028,国务院国有资产监督管理委员会,中央企业,L
000034.SZ,000034,神州数码,深圳,软件服务,主板,SZSM,19940509,郭为,民营企业,L
000035.SZ,000035,中国天楹,江苏,环境保护,主板,ZGTY,19940408,严圣军,民营企业,L
000036.SZ,000036,华联控股,深圳,全国地产,主板,HLKG,19940617,龚泽民,民营企业,L
000037.SZ,000037,深南电A,深圳,火力发电,主板,SNDA,19940701,无实际控制人,其他,L
000039.SZ,000039,中集集团,深圳,运输设备,主板,ZJJT,19940408,无实际控制人,其他,L
000042.SZ,000042,中洲控股,深圳,全国地产,主板,ZZKG,19940921,黄光苗,外资,L
001914.SZ,001914,招商积余,深圳,房产服务,主板,ZSJY,19940928,国务院国有资产监督管理委员会,中央企业,L
000045.SZ,000045,深纺织Ａ,深圳,元器件,主板,SFZA,19940815,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000048.SZ,000048,京基智农,深圳,农业综合,主板,JJZN,19941101,陈华,民营企业,L
000049.SZ,000049,德赛电池,深圳,电气设备,主板,DSDC,19950320,无实际控制人,其他,L
000050.SZ,000050,深天马Ａ,深圳,元器件,主板,STMA,19950315,国务院国有资产监督管理委员会,中央企业,L
000055.SZ,000055,方大集团,深圳,其他建材,主板,FDJT,19960415,熊建明,民营企业,L
000056.SZ,000056,皇庭国际,深圳,其他商业,主板,HTGJ,19960708,郑康豪,民营企业,L
000058.SZ,000058,深赛格,深圳,商品城,主板,SSG,19961226,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000059.SZ,000059,华锦股份,辽宁,石油加工,主板,HJGF,19970130,国务院国有资产监督管理委员会,中央企业,L
000060.SZ,000060,中金岭南,深圳,铅锌,主板,ZJLN,19970123,广东省人民政府国有资产监督管理委员会,地方国有企业,L
000061.SZ,000061,农产品,深圳,农业综合,主板,NCP,19970110,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000062.SZ,000062,深圳华强,深圳,元器件,主板,SZHQ,19970130,梁光伟,民营企业,L
000063.SZ,000063,中兴通讯,深圳,通信设备,主板,ZXTX,19971118,无实际控制人,其他,L
000065.SZ,000065,北方国际,北京,建筑工程,主板,BFGJ,19980605,国务院国有资产监督管理委员会,中央企业,L
000066.SZ,000066,中国长城,深圳,IT设备,主板,ZGCC,19970626,中国电子信息产业集团有限公司,中央企业,L
000068.SZ,000068,华控赛格,深圳,环境保护,主板,HKSG,19970611,山西省国有资本运营有限公司,地方国有企业,L
000069.SZ,000069,华侨城Ａ,深圳,全国地产,主板,HQCA,19970910,国务院国有资产监督管理委员会,中央企业,L
000070.SZ,000070,特发信息,深圳,通信设备,主板,TFXX,20000511,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000078.SZ,000078,海王生物,深圳,医药商业,主板,HWSW,19981218,张思民,民营企业,L
000088.SZ,000088,盐田港,深圳,港口,主板,YTG,19970728,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000089.SZ,000089,深圳机场,深圳,机场,主板,SZJC,19980420,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000090.SZ,000090,天健集团,深圳,建筑工程,主板,TJJT,19990721,深圳市人民政府国有资产监督管理委员会,地方国有企业,L
000096.SZ,000096,广聚能源,深圳,石油贸易,主板,GJNY,20000724,黑龙江省鹤岗市南山区人民政府国有资产监督管理委员会,地方国有企业,L
000099.SZ,000099,中信海直,深圳,空运,主板,ZXHZ,20000731,中国中信集团有限公司,中央企业,L
000100.SZ,000100,TCL科技,广东,元器件,主板,TCLKJ,20040130,无实际控制人,其他,L
000151.SZ,000151,中成股份,北京,商贸代理,主板,ZCGF,20000906,国务院国有资产监督管理委员会,中央企业,L
000153.SZ,000153,丰原药业,安徽,化学制药,主板,FYYY,20000920,李荣杰,民营企业,L
000155.SZ,000155,川能动力,四川,新型电力,主板,CNDL,20000926,四川省政府国有资产监督管理委员会,地方国有企业,L
000156.SZ,000156,华数传媒,浙江,影视音像,主板,HSCM,20000906,杭州市财政局,地方国有企业,L
000157.SZ,000157,中联重科,湖南,工程机械,主板,ZLZK,20001012,无实际控制人,其他,L
000158.SZ,000158,常山北明,河北,软件服务,主板,CSBM,20000724,石家庄市人民政府国有资产监督管理委员会,地方国有企业,L
000159.SZ,000159,国际实业,新疆,石油贸易,主板,GJSY,20000926,冯现啁,民营企业,L
000301.SZ,000301,东方盛虹,江苏,化纤,主板,DFSH,20000529,缪汉根,民营企业,L
000400.SZ,000400,许继电气,河南,电气设备,主板,XJDQ,19970418,国务院国有资产监督管理委员会,中央企业,L
000401.SZ,000401,金隅冀东,河北,水泥,主板,JYJD,19960614,北京市人民政府国有资产监督管理委员会,地方国有企业,L
000402.SZ,000402,金融街,北京,全国地产,主板,JRJ,19960626,北京市西城区人民政府国有资产监督管理委员会,地方国有企业,L
000403.SZ,000403,派林生物,山西,生物制药,主板,PLSW,19960628,陕西省人民政府国有资产监督管理委员会,地方国有企业,L
000404.SZ,000404,长虹华意,江西,家用电器,主板,CHHY,19960619,绵阳市国有资产监督管理委员会,地方国有企业,L
000407.SZ,000407,胜利股份,山东,供气供热,主板,SLGF,19960703,许铁良,外资,L
000408.SZ,000408,藏格矿业,青海,农药化肥,主板,ZGKY,19960628,上杭县财政局,地方国有企业,L
000409.SZ,000409,云鼎科技,山东,软件服务,主板,YDKJ,19960627,山东省人民政府,地方国有企业,L
000410.SZ,000410,沈阳机床,辽宁,机床制造,主板,SYJC,19960718,国务院国有资产监督管理委员会,中央企业,L
000411.SZ,000411,英特集团,浙江,医药商业,主板,YTJT,19960716,浙江省人民政府国有资产监督管理委员会,地方国有企业,L
000415.SZ,000415,渤海租赁,新疆,多元金融,主板,BHZL,19960716,无实际控制人,其他,L
000417.SZ,000417,合百集团,安徽,百货,主板,HBJT,19960812,合肥市人民政府国有资产监督管理委员会,地方国有企业,L
000419.SZ,000419,通程控股,湖南,百货,主板,TCKG,19960816,长沙市人民政府国有资产监督管理委员会,地方国有企业,L
000420.SZ,000420,吉林化纤,吉林,化纤,主板,JLHX,19960802,吉林省吉林市人民政府国有资产监督管理委员会,地方国有企业,L
000421.SZ,000421,南京公用,江苏,供气供热,主板,NJGY,19960806,南京市人民政府国有资产监督管理委员会,地方国有企业,L
000422.SZ,000422,湖北宜化,湖北,农药化肥,主板,HBYH,19960815,宜昌市人民政府国有资产监督管理委员会,地方国有企业,L
000423.SZ,000423,东阿阿胶,山东,中成药,主板,DEEJ,19960729,国务院国有资产监督管理委员会,中央企业,L
