ts_code,com_name,com_id,chairman,manager,secretary,reg_capital,setup_date,province,city,introduction,website,email,office,business_scope,employees,main_business,exchange
873233.BJ,浙江睿高新材料股份有限公司,330504000050989,赵俊焕,赵俊焕,宋春鹏,5145.0,20121112,浙江,湖州市,公司主营业务为环保阻燃材料、水性功能树脂及相关产品的研发、生产及销售，致力于为客户个性化定制从研发、应用、生产到测试评估的整体阻燃解决方案。通过应用增效和公司的工艺改进，公司生产的阻燃材料涂覆于纺织品上后，使纺织品具有性能良好且持久稳定的阻燃性，延缓或阻止了纺织品在初始燃烧阶段的蔓延性，且个性化的研制使阻燃材料与产品本身的性能相容性较好。经过多年的发展积累，新颖的整体解决方案业务模式及较好的产品及服务质量使公司在细分行业领域中逐渐建立了一定的行业地位，形成了较为成熟的业务体系，积累了丰富的行业经验。,www.cn-ruico.com,,浙江省湖州市南浔区菱湖镇凉山路188号,"一般项目:涂料制造(不含危险化学品);油墨制造(不含危险化学品);基础化学原料制造(不含危险化学品等许可类化学品的制造);化工产品生产(不含许可类化工产品);颜料制造;染料制造;化工产品销售(不含许可类化工产品);技术进出口;货物进出口;金属材料销售;建筑装饰材料销售;消毒剂销售(不含危险化学品);合成材料制造(不含危险化学品);密封用填料制造;专用化学产品制造(不含危险化学品);汽车零部件及配件制造;城市轨道交通设备制造;船用配套设备制造;海洋工程装备制造;石墨烯材料销售;高性能密封材料销售;进出口代理;化妆品批发;化妆品零售(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)。许可项目:消毒剂生产(不含危险化学品);化妆品生产;卫生用品和一次性使用医疗用品生产;检验检测服务(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以审批结果为准)。",185,"公司主要从事先进水性功能材料的研发,生产与销售,并为客户提供水性功能材料整体解决方案.公司主要产品为水性阻燃材料,水性树脂功能材料,配方型阻燃剂,功能助剂等",BSE
920719.BJ,江西宁新新材料股份有限公司,360921210000492,李海航,李海航,田家利,9309.34,20070521,江西,宜春市,公司成立于2007年，是一家专业从事特种石墨材料研发、生产与销售的企业。宁新新材作为一家特种石墨材料生产企业，已成功完成高密度、高强度石墨的制备，提高焙烧炉烟气净化率和稳定性技术及应用的研究与开发，锅炉燃烧系统改造优化的应用研究，一种石墨抗氧化处理工艺的研发，石墨坩埚生产工艺的研发等多项科技攻关项目，并拥有多项专利技术。公司产品获得江西省重点新产品称号，产品畅销国内十几个省市。,www.jxningxin.com,4617125@qq.com;nxts1688@sina.com,江西省宜春市奉新县高新技术产业园区天工南大道966号,高纯石墨、石墨制品、电极、炭化硅、增炭剂、金刚石材料、炉料(不含危险品)生产及销售；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,434,"特种石墨及石墨制品的研发,生产,销售",BSE
873374.BJ,广州尚航信息科技股份有限公司,440106000297831,兰满桔,兰满桔,张白露,18489.5067,20100824,广东,广州市,公司是互联网数据中心领域的一站式服务提供商，主营业务包括IDC综合服务、云综合服务。其中IDC综合服务涵盖了机柜租用及服务器托管服务、带宽租用服务、IP地址服务、虚拟专用网服务等，云综合服务主要是公有云服务。目前，公司已取得了覆盖互联网数据中心业务、互联网接入服务业务、固定网国内数据传送业务、国内互联网虚拟专用网业务、内容分发网络业务资质的跨地区增值电信经营业务许可证。,www.sunhongs.com,ir@sunhongs.com,"广东省广州市黄埔区瑞和路39号G5座601-620,701-720",云计算设备销售;办公设备耗材销售;软件销售;文具用品批发;工程和技术研究和试验发展;广告制作;移动终端设备销售;计算机软硬件及辅助设备零售;计算机软硬件及辅助设备批发;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;通信设备销售;通讯设备销售;机械零件、零部件销售;文具用品零售;软件开发;信息系统集成服务;数据处理和存储支持服务;数据处理服务;电子产品销售;计算机及通讯设备租赁;计算机及办公设备维修;基于云平台的业务外包服务;信息系统运行维护服务;信息技术咨询服务;网络设备销售;网络技术服务;互联网安全服务;互联网数据服务;第一类增值电信业务;基础电信业务。,175,公司是互联网数据中心领域的一站式服务提供商，主营业务主要为IDC综合服务、云综合服务。其中IDC综合服务涵盖了机柜租用及服务器托管服务、带宽租用服务、IP地址服务、虚拟专用网服务等，云综合服务包括融合云服务和弹性算力服务。,BSE
834845.BJ,广州华腾教育科技股份有限公司,440101000026033,熊小亻毛,熊小亻毛,张帆,8580.605,20090106,广东,广州市,公司成立于2009年，坐落于广州市黄花岗国家高新科技园区，是具有高新企业资质，拥有多项自主知识产权，拥有知名品牌的互联网企业。是中国移动广东公司、中国移动福建公司、中国移动四川公司、中国移动浙江公司的战略合作伙伴。公司以“教育信息技术与教学过程的紧密融合”为核心理念，致力于打造集产品设计、平台研发、课程资源制作整合、应用服务提供、互联网运营为一体的教育信息化企业。公司长期专注于“网络学习空间人人通”基础教育信息化平台建设，公司自主研发的移动互联网产品“同步课堂”，获得国家领导人的高度肯定和广大用户的一致好评。经过五年多的努力，公司业务已覆盖广东、四川、福建3省，在北京设有办事处，逐步发展成为业内颇具影响力的品牌企业。,www.ldcchina.com,zhb@ldcchina.com,广东省广州市天河区体育西路153号天河大厦16层,软件开发；信息系统集成服务；信息技术咨询服务；数据处理和存储服务；网络技术的研究、开发；计算机技术开发、技术服务；教学设备的研究开发；计算机批发；计算机零配件批发；计算机零售；计算机零配件零售；信息电子技术服务；移动电信业务代理服务；数字动漫制作；游戏软件设计制作；地理信息加工处理；图书数据处理技术开发；文具用品批发；文具用品零售；增值电信服务(业务种类以《增值电信业务经营许可证》载明内容为准)。,92,"“同步课堂”和“童趣课堂”产品.负责产品平台的架构与维护,提供优质教育教学资源,规划,设计,开发和维护多样化的双网服务应用环境,承担互联网,移动互联网应用服务,提供双网应用服务的客户支持,提供市场推广服务.",BSE
920020.BJ,青岛泰凯英专用轮胎股份有限公司,370212228095714,王传铸,王传铸,,22125.0,20071018,山东,青岛市,公司是一家以技术创新为驱动，聚焦于全球矿业及建筑业轮胎市场，专业从事矿山及建筑轮胎的设计、研发、销售与服务的企业。根据用户对于各类使用工况的差异化需求，公司围绕降低轮胎消耗和提升设备作业效率，进行场景化技术研发和产品开发，通过代工方式实现产品生产，为客户提供场景化轮胎、轮胎数字化系统及轮胎综合管理服务等。公司在工程子午线轮胎领域形成了领先的行业地位。根据中国橡胶工业协会轮胎分会的调研及统计，公司2022年工程子午线轮胎国内市场占有率总体位列中国品牌第3名；在全球工程子午线轮胎市场，公司位列全球品牌第8名。根据中国工程机械工业协会的调研及统计，公司在2022年国内工程子午线轮胎配套市场占有率总体位列国内外轮胎品牌第3名；其中具有代表性之一的大吨位起重机轮胎国内配套市场占有率超过60%，总体位列国内外轮胎品牌第1名。公司2023年入选世界品牌实验室(World Brand Lab)发布的中国500最具价值品牌。公司是国家级专精特新“小巨人”企业、全国产品和服务质量诚信示范企业、山东省瞪羚企业、青岛市“隐形冠军”企业、青岛市矿山轮胎数字化工程研究中心、青岛市矿山轮胎数字化技术创新中心、青岛市企业技术中心、青岛市创新型企业。公司为中国橡胶工业协会轮胎分会副理事长单位、中国工程机械工业协会理事单位和美国设备制造商协会会员单位。,www.techking.com,ir@techking.com,山东省青岛市崂山区科苑经三路6号2号楼,一般项目：轮胎销售；轮胎制造【分支机构经营】；橡胶制品制造【分支机构经营】；橡胶制品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；技术进出口。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动),304,场景化轮胎、轮胎数字化管理系统及轮胎综合管理业务,BSE
839181.BJ,广东思柏科技股份有限公司,440101000145610,陈伟旭,陈伟旭,官韵灵,10767.0071,20110120,广东,广州市,公司主要从事通信用光电缆、光器件、通信设备的生产、研发及销售。公司主要产品为通信电缆，包括市内通信电缆、数据电缆等，公司掌握了这些产品领域的核心技术，拥有自主知识产权。2015年，公司在原有通信电缆的基础上增加了美化天线(注：美化天线属于移动通信系统基站天线大类中的一种产品)的销售，以提升公司的整体盈利能力。公司除生产自有品牌的产品外，还为小部分客户提供贴牌生产，公司为委托方提供的贴牌生产采用OEM的形式，即委托方提供工艺要求，公司提供原材料，按照数据电缆、市内通信电缆等产品的行业标准及委托方的要求进行生产，产品出厂时使用委托方的品牌。公司拥有四项核心技术，十一项专利，正在申请中的专利有十项，公司生产的思柏牌数字通信用水平对绞电缆产品被评为广东省名牌产品。,www.simpact.com.cn,spkj@simpact.com.cn,广东省广州市花都区炭步镇合进路8号,电线、电缆经营;货物进出口;技术进出口;光纤制造;光纤销售;通信设备销售;通信设备制造;电力电子元器件制造;光通信设备制造;光通信设备销售;光缆制造;光缆销售;光电子器件制造;电子元器件制造;移动通信设备制造;配电开关控制设备制造;机械电气设备制造;智能车载设备制造;集成电路芯片及产品制造;电器辅件制造;塑料制品制造;工程和技术研究和试验发展;网络技术服务;信息技术咨询服务;5G通信技术服务;配电开关控制设备销售;金属材料销售;五金产品批发;电子元器件批发;光电子器件销售;有色金属合金销售;普通机械设备安装服务;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;五金产品零售;电子元器件零售;生产性废旧金属回收;再生物资回收与批发;电线、电缆制造;检验检测服务;发电业务、输电业务、供(配)电业务,211,通信线缆、电力线缆等线缆产品的研发、生产及销售,BSE
920092.BJ,山东汉鑫科技股份有限公司,370602228006053,刘文义,刘文义,王玉敏,6207.97,20010425,山东,烟台市,公司是信息系统集成的解决方案提供商，致力于为政府、企事业单位客户提供信息系统解决方案及相关服务，包括智能化信息系统设计和相关设备的选型采购、实施安装、开发调试，以及运营维护等。公司主营业务为信息系统集成服务，根据客户类型可分为政校医商类、涉密单位类和工业企业类，属于智慧城市行业综合解决方案范畴。,www.hiacent.cn,wymin@hiacent.cn;hiacent@hiacent.cn,山东省烟台市高新区蓝海路1号4号楼,人工智能通用应用系统；人工智能应用软件开发；大数据服务；数据处理服务；工业互联网数据服务；物联网技术服务；云计算装备技术服务；智能车载设备制造；智能车载设备销售；汽车销售；商用密码产品生产；商用密码产品销售；数字技术服务；软件开发；软件销售；计算机系统服务；信息技术咨询服务；信息系统集成服务；信息系统运行维护服务；安全技术防范系统设计施工服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；电子产品销售；网络设备销售；信息安全设备销售；通信设备销售。建筑智能化系统设计；建设工程施工。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,182,"公司是信息系统集成的解决方案提供商,致力于为政府,企事业单位,制造类企业客户提供数字化信息化产品及解决方案,包括智能化信息系统咨询规划,方案设计和相关设备的选型采购,系统安装,开发调试,以及运营维护等.",BSE
835092.BJ,上海钢银电子商务股份有限公司,310109000477486,黄坚,黄坚,吴发挥,104071.8702,20080215,上海,上海市,公司主营业务为钢铁现货交易电子商务服务。公司通过运营第三方平台--钢银平台为钢铁行业上下游企业提供一揽子电子商务解决方案，包括撮合交易和寄售交易等钢铁现货交易服务，并且通过钢银平台及战略合作伙伴为客户提供支付结算、仓储、物流等一系列增值服务。,www.banksteel.com,Public@banksteel.com,上海市宝山区园丰路68号5楼,"许可项目:互联网信息服务;第一类增值电信业务;第二类增值电信业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准) 一般项目:互联网销售(除销售需要许可的商品);技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;金属材料销售;金属制品销售;金属矿石销售;冶金专用设备销售;石油制品销售(不含危险化学品);煤炭及制品销售;锻件及粉末冶金制品销售;有色金属合金销售;建筑材料销售;木材销售;化工产品销售(不含许可类化工产品);耐火材料销售;汽车零配件批发;汽车零配件零售;摩托车及零配件批发;摩托车及零配件零售;机械电气设备销售;五金产品零售;五金产品批发;电子产品销售;通讯设备销售;智能港口装卸设备销售;再生资源销售;再生资源回收(除生产性废旧金属);生产性废旧金属回收;货物进出口;技术进出口。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)",1019,钢铁现货交易及服务,BSE
835483.BJ,中大建设股份有限公司,361100210005003,彭金禄,彭金禄,黄云,35493.0,20011026,江西,上饶市,公司成立于2001年，主营业务为房屋建筑工程施工及土建装修业务。公司具有资质：市政公用工程施工总承包壹级，房屋建筑工程施工总承包壹级，机电安装工程施工总承包壹级。,www.chinazdjs.com,zdgf835483@126.com,江西省南昌市高新区紫阳大道2999号紫阳明珠C栋30-31楼,建筑工程、公路工程、水利水电工程、矿山工程、市政公用工程、机电工程、地基与基础工程、消防设施工程、钢结构工程、建筑装修装饰工程、建筑机电安装工程、建筑幕墙工程、古建筑工程、城市及道路照明工程、水利水电机电安装工程、环保工程、特种工程、民用水电安装工程、园林绿化工程、土石方工程、体育场地设施工程、房屋拆除工程、防水防腐保温工程、建筑智能化工程施工。(依法须经批准的项目，经相关部门审批后方可开展经营活动),679,房屋建筑工程施工及市政工程施工,BSE
836213.BJ,金麒麟新能源股份有限公司,210106000047636,李楠,,李净施,1360.0,20050201,辽宁,沈阳市,公司主要从事光伏、风电电站等新能源电站工程建设管理业务，为新能源电站建设提供全过程的管理和施工服务；提供楼宇、场馆等建设装饰工程的设计与施工服务。公司在巩固既有业务领域的同时，不断开拓新能源市场，致力于成为以技术研发为基础、项目开发为核心、设计优化为依托、专业施工为载体、智能化运维为支撑，自营业务持有为保障，六位一体的新能源综合运营服务商。,www.lnjql.com,jqltz@jqlgf.com,辽宁省沈阳市皇姑区巴山路48-2号,"许可项目:输电、供电、受电电力设施的安装、维修和试验;检验检测服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准)一般项目:消防技术服务;信息系统运行维护服务;电子元器件零售;电气设备修理;仪器仪表修理。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)",153,"新能源电站建设管理解决方案,智能运维业务,新能源相关电力配套设施业务",BSE
