date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-01-02,sz.000004,13.7300,14.3900,13.3300,14.1800,13.8400,11976037,167987024.3300,3,9.483100,1,2.456600,-11.909361,11.750763,17.811005,-69.708619,0
2025-01-03,sz.000004,14.2000,14.4000,12.7600,12.8000,14.1800,12392975,164927376.6900,3,9.813300,1,-9.732000,-10.750340,10.607176,16.077635,-62.924564,0
2025-01-06,sz.000004,12.4000,12.9300,12.1000,12.5200,12.8000,8481046,106111266.0200,3,6.715600,1,-2.187500,-10.515177,10.375144,15.725937,-61.548089,0
2025-01-07,sz.000004,12.6500,13.1200,12.6500,13.1100,12.5200,8609707,110966824.3300,3,6.817500,1,4.712500,-11.010700,10.864069,16.467016,-64.448518,0
2025-01-08,sz.000004,13.0300,13.4800,12.8900,13.4000,13.1100,9978201,132231151.0500,3,7.901100,1,2.212100,-11.254263,11.104388,16.831275,-65.874153,0
2025-01-09,sz.000004,13.3600,13.5300,13.2100,13.2600,13.4000,8288430,110927265.1000,3,6.563100,1,-1.044800,-11.136681,10.988372,16.655425,-65.185916,0
2025-01-10,sz.000004,13.2600,13.3600,12.5000,12.5100,13.2600,8202345,105864325.4200,3,6.494900,1,-5.656100,-10.506778,10.366858,15.713376,-61.498930,0
2025-01-13,sz.000004,12.3900,12.5100,11.8700,12.4700,12.5100,6998700,86099245.0000,3,5.541900,1,-0.319700,-10.473183,10.333710,15.663134,-61.302290,0
2025-01-14,sz.000004,12.5300,13.2000,12.5300,13.2000,12.4700,7852000,101668375.0000,3,6.217500,1,5.854000,-11.086289,10.938651,16.580061,-64.890957,0
2025-01-15,sz.000004,13.5700,13.9000,13.2800,13.4200,13.2000,11741000,158510948.0000,3,9.297000,1,1.666700,-11.271060,11.120962,16.856396,-65.972473,0
2025-01-16,sz.000004,13.5600,13.8400,13.3600,13.5900,13.4200,9592901,130617429.7200,3,7.596000,1,1.266800,-11.413838,11.261838,17.069927,-66.808190,0
2025-01-17,sz.000004,13.4800,13.5400,13.1900,13.3000,13.5900,6934700,92345381.0000,3,5.491200,1,-2.133900,-11.170276,11.021519,16.705668,-65.382555,0
2025-01-20,sz.000004,11.9700,11.9700,11.9700,11.9700,13.3000,4459000,53374230.0000,3,3.530800,1,-10.000000,-10.053248,9.919367,15.035101,-58.844299,0
2025-01-21,sz.000004,11.2500,11.8200,11.2500,11.4500,11.9700,20923300,238461195.0000,3,16.567900,1,-4.344200,-9.616515,9.488451,14.381947,-56.287989,0
2025-01-22,sz.000004,11.0900,11.2000,10.7000,10.8000,11.4500,14333751,155645547.7200,3,11.350000,1,-5.676900,-9.070600,8.949805,13.565505,-53.092601,0
2025-01-23,sz.000004,10.8300,11.2900,10.5800,10.6000,10.8000,12312150,134778075.5000,3,9.749300,1,-1.851900,-8.902626,8.784068,13.314292,-52.109405,0
