date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-01-02,sz.000006,5.4300,5.4500,5.3700,5.4000,5.3600,12475176,67452865.7000,3,0.925200,1,0.746300,8.859535,1.141510,2.530018,4.438300,0
2020-01-03,sz.000006,5.4000,5.5400,5.3900,5.4800,5.4000,16565193,90465551.3800,3,1.228600,1,1.481500,8.990787,1.158421,2.567500,4.504053,0
2020-01-06,sz.000006,5.4500,5.5000,5.4000,5.4600,5.4800,10713735,58411416.1000,3,0.794600,1,-0.365000,8.957974,1.154193,2.558129,4.487615,0
2020-01-07,sz.000006,5.4600,5.5300,5.4400,5.4900,5.4600,8727172,47801845.5100,3,0.647300,1,0.549400,9.007194,1.160535,2.572185,4.512272,0
2020-01-08,sz.000006,5.4800,5.4800,5.3800,5.3900,5.4900,10719839,58202404.0100,3,0.795100,1,-1.821500,8.843128,1.139396,2.525333,4.430081,0
2020-01-09,sz.000006,5.4300,5.5100,5.4000,5.4700,5.3900,8092778,44163030.4900,3,0.600200,1,1.484200,8.974380,1.156307,2.562814,4.495834,0
2020-01-10,sz.000006,5.4800,5.5600,5.4300,5.4600,5.4700,13464641,73756328.3400,3,0.998600,1,-0.182800,8.957974,1.154193,2.558129,4.487615,0
2020-01-13,sz.000006,5.4700,5.5400,5.4200,5.5300,5.4600,11474868,63029064.2400,3,0.851100,1,1.282100,9.072820,1.168990,2.590926,4.545148,0
2020-01-14,sz.000006,5.5500,5.5500,5.4700,5.5000,5.5300,10094380,55579117.8900,3,0.748700,1,-0.542500,9.206397,1.162649,1.992016,4.520491,0
2020-01-15,sz.000006,5.5000,5.5100,5.3900,5.4700,5.5000,8929387,48605650.2300,3,0.662300,1,-0.545500,9.156180,1.156307,1.981150,4.495834,0
2020-01-16,sz.000006,5.4700,5.4700,5.3700,5.3900,5.4700,8372565,45298251.9800,3,0.621000,1,-1.462500,9.022269,1.139396,1.952175,4.430081,0
2020-01-17,sz.000006,5.4100,5.4200,5.3400,5.3500,5.3900,4944961,26615852.7300,3,0.366800,1,-0.742100,8.955314,1.130940,1.937688,4.397205,0
2020-01-20,sz.000006,5.3400,5.3900,5.2900,5.3700,5.3500,8079753,43253649.6100,3,0.599300,1,0.373800,8.988791,1.135168,1.944932,4.413643,0
2020-01-21,sz.000006,5.3600,5.3700,5.1900,5.2400,5.3700,12271013,64672119.4700,3,0.910100,1,-2.420900,8.771186,1.107687,1.897848,4.306795,0
